YTID, start_seconds, end_seconds, positive_labels
---1_cCGK4M, 0.000, 10.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07rwm0c"
---2_BBVHAA, 30.000, 40.000, "/m/09x0r"
---B_v8ZoBY, 30.000, 40.000, "/m/04rlf"
---EDNidJUA, 30.000, 40.000, "/m/02qldy,/m/02zsn,/m/05zppz,/m/09x0r"
---N4cFAE1A, 21.000, 31.000, "/m/04rlf,/m/09x0r"
---fcVQUf3E, 30.000, 40.000, "/m/019jd,/m/07yv9"
---g9OGAhwc, 30.000, 40.000, "/m/04rlf,/m/0c1dj"
---lTs1dxhU, 30.000, 40.000, "/m/012f08,/m/07yv9,/m/0k4j,/t/dd00134"
---mO--kRQk, 30.000, 40.000, "/m/04rlf"
---qub7uxgs, 30.000, 40.000, "/m/09x0r"
---yQzzLcFU, 30.000, 40.000, "/t/dd00067"
--04kMEQOAs, 0.000, 10.000, "/m/06h7j,/m/09x0r"
--0AzKXCHj8, 22.000, 32.000, "/m/04rlf"
--0B3G_C3qc, 10.000, 20.000, "/m/09x0r"
--0CNhurbZE, 30.000, 40.000, "/m/09x0r"
--0F7kbzAMA, 30.000, 40.000, "/m/09x0r"
--0FMNFsVeg, 30.000, 40.000, "/m/018vs,/m/0342h,/m/04rlf,/m/04szw"
--0MF9K5N30, 30.000, 40.000, "/m/09x0r"
--0Oh0JxzjQ, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
--0PQM4-hqg, 30.000, 40.000, "/m/07swgks,/m/0j2kx,/m/0j6m2"
--0XKTm28ts, 50.000, 60.000, "/m/07yv9"
--0_x3T5DQI, 30.000, 40.000, "/m/04rlf"
--0aJtOMp2M, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--0bntG9i7E, 30.000, 40.000, "/t/dd00004"
--0fYwELbpk, 30.000, 40.000, "/m/04rlf,/m/0ggx5q"
--0fim4-6Ig, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
--0pVlB7mQ8, 30.000, 40.000, "/m/09x0r"
--0ukMG7yH4, 30.000, 40.000, "/m/09x0r"
--0vTxLiRuQ, 4.000, 14.000, "/m/04rlf,/m/07s8j8t"
--0w1YA1Hm4, 30.000, 40.000, "/m/01bjv,/m/07yv9,/m/09x0r"
--11PIhoFjg, 30.000, 40.000, "/m/07qmpdm"
--12UOziMF0, 30.000, 40.000, "/m/07r04,/m/07yv9"
--18xICqMoU, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--1Bi_4aXyU, 30.000, 40.000, "/m/09x0r"
--1NzL0juik, 30.000, 40.000, "/m/026t6,/m/02hnl,/m/04rlf,/m/04szw,/m/0bm02"
--1QYEYcVBs, 30.000, 40.000, "/m/04rlf,/m/09x0r"
